feature,importance,method
Mother's occupation_18,0.17083685713009464,absolute_coefficient
Curricular units 2nd sem (evaluations),0.16746660889080978,absolute_coefficient
GDP,0.1670429760372371,absolute_coefficient
Father's occupation_44,0.15871848400326838,absolute_coefficient
Father's occupation_43,0.15699903037419274,absolute_coefficient
Mother's qualification_6,0.15481702771235475,absolute_coefficient
Gender_0,0.15397596823618795,absolute_coefficient
Mother's occupation_5,0.15182818110195603,absolute_coefficient
Application mode_9,0.1504054962704971,absolute_coefficient
Application mode_18,0.1476131809853941,absolute_coefficient
Mother's qualification_24,0.14417852746528195,absolute_coefficient
Father's qualification_4,0.14308522957990888,absolute_coefficient
Mother's qualification_28,0.14082755435546196,absolute_coefficient
Marital status_3,0.135628232004966,absolute_coefficient
Curricular units 1st sem (grade),0.13506104569211505,absolute_coefficient
Mother's qualification_1,0.13382681584542713,absolute_coefficient
Father's qualification_25,0.13364518926147795,absolute_coefficient
Inflation rate,0.13328665212186444,absolute_coefficient
Daytime/evening attendance_1,0.1280532290112964,absolute_coefficient
Mother's qualification_7,0.12270210212495657,absolute_coefficient
Previous qualification_12,0.12051009693263595,absolute_coefficient
Application mode_14,0.12007181211605843,absolute_coefficient
Father's occupation_4,0.11730212459079341,absolute_coefficient
Application order,0.11048829540659316,absolute_coefficient
Nacionality_3,0.10889465292968648,absolute_coefficient
International_1,0.10863062123331456,absolute_coefficient
Curricular units 1st sem (evaluations),0.10773038511640555,absolute_coefficient
Father's qualification_17,0.10512674381379364,absolute_coefficient
Father's occupation_3,0.10505576493654317,absolute_coefficient
Application mode_13,0.10247499221293221,absolute_coefficient
Marital status_4,0.10233062104847242,absolute_coefficient
Father's occupation_21,0.10198155518145312,absolute_coefficient
Father's qualification_18,0.0983765205673282,absolute_coefficient
Displaced_0,0.09807164122616384,absolute_coefficient
Course_1,0.09688623426553722,absolute_coefficient
Father's qualification_24,0.0965743623655637,absolute_coefficient
Father's occupation_26,0.09088646235734128,absolute_coefficient
Mother's qualification_21,0.08725885195014363,absolute_coefficient
Father's qualification_3,0.08521825002181085,absolute_coefficient
Mother's occupation_19,0.07991534060004042,absolute_coefficient
Father's occupation_36,0.07544217381518119,absolute_coefficient
Mother's occupation_23,0.0744595623833691,absolute_coefficient
Father's occupation_30,0.0744595623833691,absolute_coefficient
Mother's qualification_22,0.071102050948474,absolute_coefficient
Mother's qualification_20,0.06992560270318712,absolute_coefficient
Father's occupation_41,0.06907105630081252,absolute_coefficient
Curricular units 2nd sem (credited),0.06612637844908856,absolute_coefficient
Educational special needs_0,0.063836043080609,absolute_coefficient
Mother's occupation_25,0.06334579330152747,absolute_coefficient
Father's occupation_17,0.05784153597611428,absolute_coefficient
Father's occupation_38,0.05780305175797872,absolute_coefficient
Curricular units 1st sem (without evaluations),0.05319937318819195,absolute_coefficient
Mother's qualification_3,0.05197172529646708,absolute_coefficient
Father's qualification_26,0.05102672032188659,absolute_coefficient
Father's occupation_33,0.049187992327161506,absolute_coefficient
Mother's qualification_18,0.04887614445267933,absolute_coefficient
Age at enrollment,0.04666634731438369,absolute_coefficient
Nacionality_7,0.045699298547582944,absolute_coefficient
Mother's occupation_30,0.045414375346161814,absolute_coefficient
Father's occupation_18,0.04243362559284351,absolute_coefficient
Mother's occupation_13,0.04151847539985829,absolute_coefficient
Nacionality_6,0.04014525703174187,absolute_coefficient
Father's occupation_20,0.040104895030104004,absolute_coefficient
Mother's qualification_16,0.03798112151625606,absolute_coefficient
Previous qualification_15,0.036552542296179616,absolute_coefficient
Mother's occupation_31,0.036235466763117945,absolute_coefficient
Father's occupation_40,0.036235466763117945,absolute_coefficient
Nacionality_18,0.035809817616300366,absolute_coefficient
Father's qualification_1,0.03488695630700635,absolute_coefficient
Educational special needs_1,0.033216919324104054,absolute_coefficient
Daytime/evening attendance_0,0.031000266606746076,absolute_coefficient
Course_5,0.03012131830613475,absolute_coefficient
Mother's qualification_23,0.02793699532799163,absolute_coefficient
Mother's occupation_10,0.027650591251873097,absolute_coefficient
Mother's occupation_3,0.027147313074386625,absolute_coefficient
Father's occupation_15,0.026568744145536827,absolute_coefficient
Father's occupation_32,0.022991863477300166,absolute_coefficient
Mother's occupation_8,0.019874556445103976,absolute_coefficient
Previous qualification_8,0.018595009004284936,absolute_coefficient
Nacionality_19,0.017012355970871182,absolute_coefficient
Father's qualification_16,0.016318734295366046,absolute_coefficient
Father's occupation_28,0.01623761955384271,absolute_coefficient
Nacionality_2,0.015896853630549077,absolute_coefficient
Mother's occupation_7,0.015120442894872733,absolute_coefficient
Previous qualification_7,0.014027373512609393,absolute_coefficient
Father's occupation_37,0.013892760278672714,absolute_coefficient
Mother's occupation_21,0.013892760278672714,absolute_coefficient
Course_12,0.013669042044029875,absolute_coefficient
Nacionality_11,0.011444055371031636,absolute_coefficient
Mother's occupation_24,0.009990026829552575,absolute_coefficient
Father's occupation_13,0.009616970624989892,absolute_coefficient
Nacionality_5,0.008857353770148778,absolute_coefficient
Marital status_6,0.0050871456450989165,absolute_coefficient
Course_14,0.004797464209481857,absolute_coefficient
Father's occupation_6,0.004502534178980328,absolute_coefficient
Father's qualification_6,0.003529651877562521,absolute_coefficient
Father's qualification_19,0.0031102588293363343,absolute_coefficient
Father's qualification_20,0.002364742174590816,absolute_coefficient
Nacionality_16,0.001078356253059147,absolute_coefficient
Father's qualification_34,0.0007822345584750147,absolute_coefficient
Previous qualification_11,0.0007635293274563774,absolute_coefficient
Father's qualification_11,0.0002421101276157356,absolute_coefficient
Mother's qualification_27,5.2015458236722136e-05,absolute_coefficient
Father's qualification_31,1.17802545928033e-05,absolute_coefficient
