data_source,solution_type,model,threshold,threshold_unit,threshold_raw,precision,recall,f1,f2,accuracy,roc_auc,pr_auc,tn,fp,fn,tp
student_dropout,ml,logistic_regression,0.4,probability,,0.4047954866008462,0.8130311614730878,0.5404896421845574,0.6765676567656765,0.6746666666666666,0.8153453645549049,0.5753334888389368,725,422,66,287
student_dropout,rule_based,rule_set,0.36363636363636365,normalized_rule_score,4.0,0.3807692307692307,0.8413597733711048,0.5242718446601942,0.677463503649635,0.6406666666666667,0.7836862266634724,0.4998740564018036,664,483,56,297
student_dropout_and_success,ml,logistic_regression,0.25,probability,,0.7157534246575342,0.9812206572769951,0.8277227722772277,0.9134615384615384,0.8403669724770643,0.98171559477346,0.9776125813251134,249,83,4,209
student_dropout_and_success,rule_based,rule_set,0.18181818181818182,normalized_rule_score,2.0,0.8097165991902834,0.9389671361502347,0.8695652173913043,0.9099181073703366,0.8899082568807339,0.940487301317948,0.8895054702682857,285,47,13,200
